"Title";"Acronym";"Rank";"PrimaryFoR"
"ACM Conference on Learning @ Scale";"L@S";"B";"4601"
"ACM International Conference on Advances in Geographic Information Systems";"SIGSPATIAL";"A";"4601"
"ACM SIGUCCS Conference on User Services";"SIGUCCS";"National: USA";"4601"
"ACM Symposium on Applied Computing";"SAC";"Multiconference";"4601"
"American Medical Informatics Annual Fall Symposium";"AMIA";"National: USA";"4601"
"Applied Computing Conference";"ACC";"C";"4601"
"Artificial Intelligence Applications and Innovations";"AIAI";"National/Regional";"4601"
"Asia-Pacific Bioinformatics Conference";"APBC";"B";"4601"
"Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference";"CAADRIA";"C";"4601"
"Body Sensor Networks";"BSN";"C";"4601"
"Conference of the European Society for Fuzzy Logic and Technologies";"EUSFLAT";"C";"4602"
"CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS";"FedCSIS";"C";"4602"
"Discovery Science";"DS";"B";"4611"
"DNA Computing and Molecular Programming";"DNA";"B";"4601"
"Educational Data Mining";"EDM";"B";"4601"
"Euromicro Conference on Software Engineering and Advanced Applications";"SEAA";"B";"4612"
"European Conference on Computational Biology";"ECCB";"C";"4601"
"European Conference on Digital Government (was European Conference on e-Government ECEG)";"ECDG";"C";"4601"
"European Conference on Technology Enhanced Learning";"EC-TEL";"B";"4601"
"HCist - International Conference on Health and Social Care Information Systems and Technologies";"HCist";"Unranked";"4601"
"Health Informatics Conference";"HIC";"Australasian C";"4601"
"IADIS International Conference Applied Computing";"IADIS AC";"C";"4601"
"ICT in Education, Research, and Industrial Applications";"ICTERI";"National: Ukraine";"4601"
"IEEE Bioinformatics and Bioengineering";"BIBE";"C";"4601"
"IEEE Global Engineering Education Conference";"EDUCON";"C";"4601"
"IEEE Industry Applications Society Annual Conference";"IAS";"National: USA";"4601"
"IEEE International Conference on Advanced Learning Technologies";"ICALT";"B";"4601"
"IEEE International Conference on e-Science and Grid Computing";"e-Science";"B";"4606"
"IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006)";"HealthCom";"C";"4601"
"IEEE International Conference on Fog and Edge Computing";"ICFEC";"C";"4606"
"IEEE International Conference on Robot and Human Interactive Communication";"RO-MAN";"B";"4608"
"IEEE International Conference on Smart Computing";"SmartComp";"B";"4601"
"IEEE International Geoscience and Remote Sensing Symposium";"IGARSS";"C";"4601"
"IEEE International Symposium on Computer-Based Medical Systems";"CBMS";"B";"4601"
"IEEE Symposium on Computational Intelligence for Financial Engineering";"IEEE CIFEr";"C";"4601"
"IEEE Symposium on Computational Intelligence for Security and Defence Applications";"IEEE CISDA";"C";"4601"
"IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology";"CIBCB";"C";"4601"
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies";"BDCAT";"C";"4611"
"IEEE/ACM International Symposium on Low Power Electronics and Design";"ISLPED";"A";"CSE"
"IFIP Working Conferences on Virtual Enterprises";"PRO-VE";"C";"4606"
"Industrial Simulation Conference";"ISC";"C";"4602"
"Information Visualization in Biomedical Informatics";"IVBI";"C";"4601"
"Innovative Applications in AI";"IAAI";"C";"4602"
"Intelligent Systems in Molecular Biology";"ISMB";"A";"4601"
"Intenational Environmental Modelling and Software Society";"iEMSs";"C";"4601"
"International Computer Software and Applications Conference";"COMPSAC";"B";"4601"
"International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning";"MIS4TEL";"National: Spain";"4601"
"International Conference of the Immersive Learning Research Network";"iLRN";"C";"4601"
"International Conference on Applications of Evolutionary Computation";"EvoApplications";"B";"4602"
"International Conference on Artificial Intelligence and Law";"ICAIL";"C";"4602"
"International Conference on Artificial Intelligence in Education";"AIED";"A";"4601"
"International Conference on Artificial Intelligence in Medicine";"AIME";"B";"4601"
"International Conference on Computational Molecular Biology";"RECOMB";"B";"4601"
"International Conference on Computational Science";"ICCS";"Multiconference";"4601"
"International Conference on Computer Supported Education";"CSEDU";"B";"4608"
"International Conference on Computers and their Applications";"CATA";"National: USA";"4601"
"International Conference on Computers Helping People with Special Needs";"ICCHP";"C";"4601"
"International Conference on Computers in Education";"ICCE";"C";"4601"
"International Conference on Control, Decision and Information Technologies";"CoDIT";"C";"4612"
"International Conference on Digital Society";"ICDS";"C";"4601"
"International Conference on Electronic Commerce";"ICEC";"C";"4601"
"International Conference on Factory Communication Systems";"WFCS";"C";"CSE"
"International Conference on Indoor Positioning and Indoor Navigation";"IPIN";"C";"4606"
"International Conference on Information and Communication Technologies and Development";"ICTD";"C";"4601"
"International Conference on Information and Communication Technologies for Ageing Well and e-Health";"ICT4AWE";"C";"4601"
"International Conference on Information and Communication Technologies in Tourism";"ENTER";"C";"4601"
"International Conference on Information Technology and Applications";"ICITA";"Australasian C";"4601"
"International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014)";"I4CS";"C";"4601"
"International Conference on Intelligent Systems Designs and Applications";"ISDA";"C";"4602"
"International Conference on Intelligent Tutoring Systems";"ITS";"B";"4601"
"International Conference on Learning Analytics and Knowledge";"LAK";"A";"4608"
"International Conference on Legal Knowledge and Information Systems";"JURIX";"C";"4601"
"International Conference on Model and Data Engineering";"MEDI";"C";"4605"
"International Conference on Reversible Computation";"RC";"C";"4613"
"International Conference on Smart homes and health Telematics";"ICOST";"C";"4601"
"International Conference on Sustainable Energy Information Technology";"SEIT";"Unranked";"4601"
"International Conference on Virtual Rehabilitation";"ICVR";"Unranked";"4601"
"International Conference on Web and Social Media";"ICWSM";"A";"4601"
"International Joint Conference on Rules and Reasoning";"RuleML+RR";"B";"4602"
"International Symposium on Innovations in Intelligent Systems and Applications";"INISTA";"C";"4602"
"International Symposium on Spatial and Temporal Databases";"SSTD";"B";"4601"
"International Symposium on Spatial Data Handling";"SDH";"C";"4601"
"International Symposium on Spatial Data Quality";"ISSDQ";"C";"4601"
"International Workshop on Soft Computing Applications";"SOFA";"National: Romania";"4601"
"International Workshop on Web and Wireless Geographical Information Systems";"W2GIS";"C";"4601"
"ISCA International Conference on Computer Applications in Industry and Engineering";"CAINE";"C";"4601"
"Language, Data and Knowledge";"LDK";"C";"4602"
"Medical Image Computing and Computer-Assisted Intervention";"MICCAI";"A";"4601"
"Pacific Symposium on Biocomputing";"PSB";"National: USA";"4601"
"Practical Applications of Agents and Multiagent Systems";"PAAMS";"National: Spain";"4602"
"Practice and Theory of Automated Timetabling";"PATAT";"C";"4601"
"Simulation and Synthesis in Medical Imaging";"SASHIMI";"C";"4602"
"Software Product Lines Conference";"SPLC";"B";"4612"
"Utility and Cloud Computing";"UCC";"Unranked";"4606"
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems";"ATMOS";"C";"4613"
"Workshop on Algorithms in Bioinformatics";"WABI";"C";"4601"
"World Conference on Educational Multimedia, Hypermedia and Telecommunications";"ED-MEDIA";"C";"4601"
"AAAI/ACM Conference on AI, Ethics, and Society";"AIES";"C";"4608"
"ACM Conference on Economics and Computation";"EC";"A*";"4602"
"ACM International Conference on Information and Knowledge Management";"CIKM";"A";"4605"
"ACM/IEEE International Conference on Human-Robot Interaction";"HRI";"A*";"4608"
"Annual Meeting of the Cognitive Science Society";"CogSci";"B";"4602"
"Annual Meeting of the Special Interest Group on Discourse and Dialog";"SIGdial";"B";"4602"
"Applications of Natural Language to Data Bases";"NLDB";"C";"4602"
"Artificial Intelligence Applications and Innovations";"AIAI";"National/Regional";"4601"
"Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems)";"IES";"C";"4602"
"Asian Conference on Intelligent Information and Database Systems";"ACIIDS";"B";"4605"
"Association for Computational Linguistics";"ACL";"A*";"4602"
"Australasian Conference on Robotics and Automation";"ACRA";"Australasian C";"4602"
"Australasian Joint Conference on Artificial Intelligence";"AI";"Australasian B";"4602"
"Australasian Language Technology Workshop";"ALTA";"Australasian C";"4602"
"Australasian Speech Science and Technology";"SST";"Australasian C";"4602"
"Computer Sciences and Information Technologies";"CSIT";"National";"4602"
"Conference in Uncertainty in Artificial Intelligence";"UAI";"A";"4602"
"Conference of the Association for Machine Translation in the Americas";"AMTA";"National/Regional";"4602"
"Conference of the Association of Asian-Pacific Operational Research Societies";"APORS";"C";"4602"
"Conference of the European Association for Machine Translation";"EAMT";"C";"4602"
"Conference of the European Society for Fuzzy Logic and Technologies";"EUSFLAT";"C";"4602"
"Conference on Combinatorial Optimization and Applications";"COCOA";"C";"4602"
"Conference on Computational Natural Language Learning";"CoNLL";"B";"4602"
"CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS";"FedCSIS";"C";"4602"
"Conference on Intelligent Computer Mathematics";"CICM";"C";"4613"
"Conference on Learning Theory";"COLT";"A*";"4611"
"Conference on Robot Learning";"CoRL";"Unranked";"4602"
"Discovery Science";"DS";"B";"4611"
"EMAS (merger of DALT, AOSE and PROMAS)";"EMAS";"B";"4602"
"Empirical Methods in Natural Language Processing";"EMNLP";"A*";"4602"
"European Association for Computational Linguistics";"EACL";"A";"4602"
"European Conference on Artificial Intelligence";"ECAI";"A";"4602"
"European Conference on Evolutionary Computation in Combinatorial Optimisation";"EvoCOP";"B";"4602"
"European Conference on Genetic Programming";"EUROGP";"B";"4602"
"European Conference on Multi-Agent Systems";"EUMAS";"C";"4602"
"European Conference on Operations Research";"EURO";"C";"4602"
"European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty";"ECSQARU";"C";"4602"
"Florida Artificial Intelligence Research Society Conference";"FlAIRS";"National: USA";"4602"
"Foundations of Genetic Algorithms";"FOGA";"A";"4602"
"Genetic and Evolutionary Computations";"GECCO";"A";"4602"
"IEEE Automatic Speech Recognition and Understanding Workshop";"ASRU";"C";"4602"
"IEEE Congress on Evolutionary Computation";"CEC";"B";"4602"
"IEEE International Conference on Big Data";"BigData";"B";"4605"
"IEEE International Conference on Cloud Computing in Emerging Markets";"CCEM";"National:India";"4606"
"IEEE International Conference on Cognitive Informatics";"ICCI";"C";"4602"
"IEEE International Conference on Content-Based Multimedia Indexing";"CBMI";"C";"4603"
"IEEE International Conference on Cybernetics and Intelligent Systems";"CIS";"C";"4602"
"IEEE International Conference on Fuzzy Systems";"FUZZ-IEEE";"B";"4602"
"IEEE International Conference on Information Reuse and Integration";"IRI";"National: USA";"4605"
"IEEE International Conference on Intelligent Computer Communication and Processing";"ICCP";"National: Romania";"4602"
"IEEE International Conference on Intelligent Systems";"IEEE IS";"C";"4602"
"IEEE International Conference on Robot and Human Interactive Communication";"RO-MAN";"B";"4608"
"IEEE International Conference on Robotics and Automation";"ICRA";"A*";"4602"
"IEEE International Symposium on Artificial Life";"IEEE Alife";"C";"4602"
"IEEE Swarm Intelligence Symposium";"IEEE SIS";"C";"4602"
"IEEE Symposium on Computational Intelligence in Control and Automation";"IEEE CICA";"C";"4602"
"IEEE/RSJ International Conference on Intelligent Robots and Systems";"IROS";"A";"4602"
"IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT)";"WI";"B";"4602"
"IFSA World Congress";"IFSA";"C";"4602"
"Industrial Simulation Conference";"ISC";"C";"4602"
"Innovative Applications in AI";"IAAI";"C";"4602"
"Intelligent Vehicles Conference";"IEEE-IV";"B";"4602"
"Intelligent Virtual Agents";"IVA";"B";"4602"
"International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning";"MIS4TEL";"National: Spain";"4601"
"International Conference on Agents and Artificial Intelligence";"ICAART";"B";"4602"
"International Conference on AI Engineering – Software Engineering for AI";"CAIN";"B";"4612"
"International Conference on Analysis of Images, Social Networks and Texts";"AIST";"National: Russia";"4602"
"International Conference on Applications of Evolutionary Computation";"EvoApplications";"B";"4602"
"International Conference on Artificial Intelligence";"IC-AI";"National: USA";"4602"
"International Conference on Artificial Intelligence and Law";"ICAIL";"C";"4602"
"International Conference on Artificial Intelligence and Soft Computing";"ICAISC";"National: Poland";"4602"
"International Conference on Artificial Intelligence and Statistics";"AISTATS";"A";"4611"
"International Conference on Artificial Intelligence in Music, Sound, Art and Design";"EvoMUSART";"C";"4602"
"International Conference on Artificial Intelligence: Methodology, Systems, Applications";"AIMSA";"National: Bulgaria";"4602"
"International Conference on Automated Deduction";"CADE";"A";"4602"
"International Conference on Automated Planning and Scheduling";"ICAPS";"A*";"4602"
"International Conference on Case-Based Reasoning";"ICCBR";"C";"4602"
"International Conference on Computational Collective Intelligence";"ICCCI";"B";"4602"
"International Conference on Computational Linguistics";"COLING";"B";"4602"
"International Conference on Computational Models of Argument";"COMMA";"C";"4602"
"International Conference on Computer Vision and Graphics";"ICCVG";"National: Poland";"4603"
"International Conference on Control, Automation, Robotics and Vision";"ICARCV";"C";"4602"
"International Conference on Database and Expert Systems Applications";"DEXA";"C";"4605"
"International Conference on Distributed Computing and Artificial Intelligence";"DCAI";"National(Spain)";"4602"
"International Conference on Evolutionary Multi-Criterion Optimization";"EMO";"C";"4602"
"International Conference on Formal Ontology in Information Systems";"FOIS";"C";"4602"
"International Conference on Hybrid Artificial Intelligence Systems";"HAIS";"National: Spain";"4602"
"International Conference on Hybrid Intelligent Systems";"HIS";"C";"4602"
"International Conference on Image Processing Applications and Systems";"IPAS";"C";"4603"
"International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems";"IEA/AIE";"C";"4602"
"International Conference on Informatics & Data-Driven Medicine";"IDDM";"C";"4611"
"International Conference on Informatics in Control, Automation and Robotics";"ICINCO";"C";"4602"
"International Conference on Information and Communication Technologies for Ageing Well and e-Health";"ICT4AWE";"C";"4601"
"International Conference on Information and Knowledge Engineering";"IKE";"National: USA";"4602"
"International Conference on Information Processing and Management of Uncertainty";"IPMU";"C";"4605"
"International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems";"CPAIOR";"B";"4602"
"International Conference on Intelligent Systems and Knowledge Engineering";"ISKE";"National: China";"4602"
"International Conference on Intelligent Systems Designs and Applications";"ISDA";"C";"4602"
"International Conference on Intelligent Text Processing and Computational Linguistics";"CICLING";"C";"4602"
"International Conference on Knowledge Science, Engineering and Management";"KSEM";"C";"4602"
"International Conference on Knowledge-Based and Intelligent Information and Engineering Systems";"KES";"B";"4602"
"International Conference on Logic Programming and Non-monotonic Reasoning";"LPNMR";"B";"4602"
"International Conference on Methods and Models in Automation and Robotics";"MMAR";"National:Poland";"4611"
"International Conference on Modelling and Simulation";"ECMS";"C";"4602"
"International Conference on Modelling Decisions for Artificial Intelligence";"MDAI";"B";"4602"
"International Conference on Natural Computation";"ICNC";"National: China";"4602"
"International Conference on Neurosymbolic Learning and Reasoning";"NeSy";"C";"4602"
"International Conference on Operations Research and Enterprise Systems";"ICORES";"C";"4602"
"International Conference on Optimization: Techniques And Applications";"ICOTA";"C";"4602"
"International Conference on Practical Applications of Computational Biology & Bioinformatics";"PACBB";"National(Spain)";"4602"
"International Conference on Principles and Practice of Constraint Programming";"CP";"A";"4602"
"International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents)";"PRIMA";"B";"4602"
"International Conference on Process Mining";"ICPM";"B";"4605"
"International Conference on Recent Advances in Natural Language Processing";"RANLP";"National: bulgaria";"4602"
"International Conference on Software Engineering and Knowledge Engineering";"SEKE";"C";"4612"
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing";"SNPD";"C";"4612"
"International Conference on the Principles of Knowledge Representation and Reasoning";"KR";"A*";"4602"
"International Conference on the Simulation and Synthesis of Living Systems";"ALIFE";"C";"4602"
"International Conference on the Statistical Analysis of Textual Data";"JADT";"C";"4602"
"International Conference on Theory and Applications of Satisfiability Testing";"SAT";"A";"4602"
"International Conference on Tools with Artificial Intelligence";"ICTAI";"B";"4602"
"International Conference on Vehicle Technology and Intelligent Transport Systems";"VEHITS";"C";"4606"
"International Congress on Modelling and Simulation";"MODSIM";"Australasian C";"4602"
"International Cross-Domain Conference for Machine Learning and Knowledge Extraction";"CD-MAKE";"C";"4602"
"International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference)";"FLINS";"C";"4602"
"International Joint Conference on Artificial Intelligence";"IJCAI";"A*";"4602"
"International Joint Conference on Automated Reasoning";"IJCAR";"A";"4602"
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)";"AAMAS";"A";"4602"
"International Joint Conference on Computational Intelligence";"IJCCI";"C";"4602"
"International Joint Conference on Natural Language Processing";"IJCNLP";"B";"4602"
"International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others)";"IJCRS (was RSCTC)";"C";"4602"
"International Joint Conference on Rules and Reasoning";"RuleML+RR";"B";"4602"
"International KES Conference on Agents and Multiagent systems - Technologies and Applications";"KES AMSTA";"C";"4602"
"International Natural Language Generation Conference";"INLG";"B";"4602"
"International Symposium on Applied Computational Intelligence and Informatics";"SACI";"National: Romania";"4602"
"International Symposium on Applied Machine Intelligence and Informatics";"SAMI";"National: slovakia";"4602"
"International Symposium on Artificial Intelligence and Mathematics";"ISAIM";"National: USA";"4602"
"International Symposium on Artificial Life and Robotics";"AROB";"C";"4602"
"International Symposium on Automation and Robotics in Construction";"ISARC";"C";"4602"
"International Symposium on Combinatorial Optimisation";"ISCO";"C";"4613"
"International Symposium on Distributed Simulation and Real Time Applications";"DS-RT";"C";"4606"
"International Symposium on Foundations of Intelligent Systems";"ISMIS";"C";"4602"
"International Symposium on Innovations in Intelligent Systems and Applications";"INISTA";"C";"4602"
"International Symposium on Intelligent Systems and Informatics";"SISY";"National: serbia";"4602"
"International Symposium on Robotics Research";"ISRR";"C";"4602"
"International Symposium on Search Based Software Engineering";"SSBSE";"B";"4612"
"International Symposium on Temporal Representation and Reasoning";"TIME";"C";"4602"
"International Wordnet Conference (Global Wordnet Conference)";"GWC";"C";"4605"
"International Work-conference on the Interplay between Natural and Artificial Computation";"IWINAC";"National";"4602"
"International Workshop on Combinations of Intelligent Methods and Applications";"CIMA";"C";"4602"
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)";"COINE";"C";"4602"
"International Workshop on MultiAgent Based Simulation";"MABS";"C";"4602"
"International Workshop on the Algorithmic Foundations of Robotics";"WAFR";"C";"4602"
"Interspeech (combined EuroSpeech and ICSLP in 2000)";"Interspeech";"A";"4602"
"KES International Symposium on Intelligent Decision Technologies";"KES IDT";"C";"4602"
"Knowledge capture";"K-CAP";"B";"4605"
"Language Resources and Evaluation Conference";"LREC";"B";"4602"
"Language, Data and Knowledge";"LDK";"C";"4602"
"Latin American Conference on Informatics";"CLEI";"C";"4602"
"Logic Programming and Automated Reasoning";"LPAR";"B";"4613"
"Logics in Artificial Intelligence, European Conference";"JELIA";"B";"4613"
"Machine Translation Summit";"MT SUMMIT";"C";"4602"
"Modelling and Optimization: Theory and Applications";"MOPTA";"National: USA";"4602"
"Multimedia and Network Information Systems";"MISSI";"National: Poland";"4603"
"National Conference of the American Association for Artificial Intelligence";"AAAI";"A*";"4602"
"National Conference of The Australian Society for Operations Research";"ASOR";"Australasian C";"4602"
"North American Association for Computational Linguistics";"NAACL";"A";"4602"
"Pacific Asia Conference on Language, Information and Computation";"PACLIC";"C";"4602"
"Pacific Rim International Conference on Artificial Intelligence";"PRICAI";"B";"4602"
"Pacific Rim Knowledge Acquisition Workshop";"PKAW";"C";"4602"
"Portuguese Conference on Artificial Intelligence";"EPIA";"National: Portugal";"4602"
"Practical Applications of Agents and Multiagent Systems";"PAAMS";"National: Spain";"4602"
"Robot Soccer World Cup";"RoboCup";"C";"4602"
"SGAI International Conference on Artificial Intelligence";"SGAI";"National: UK";"4602"
"SIAM Conference on Optimization";"OP";"C";"4602"
"Simulation and Synthesis in Medical Imaging";"SASHIMI";"C";"4602"
"Simulation Technology and Training Conference";"SimTecT";"Australasian C";"4602"
"Software Product Lines Conference";"SPLC";"B";"4612"
"The International Conference on Intelligent Environments";"IE";"B";"4602"
"The Symposium of Combinatorial Search";"SoCS";"B";"4602"
"The Theory and Application of Diagrams";"DIAGRAMS";"C";"4602"
"Winter Simulation Conference";"WSC";"National/Regional";"4602"
"Workshop on Constraint Satisfaction for Planning and Scheduling";"COPLAS";"C";"4602"
"ACM International Conference on Interactive Media Experiences";"IMX";"C";"4608"
"ACM International Conference on Multimedia in Asia";"MM_Asia";"C";"4603"
"ACM Multimedia";"ACMMM";"A*";"4603"
"ACM Multimedia Systems Conference";"MMSys";"A";"4606"
"ACM SIG International Conference on Computer Graphics and Interactive Techniques";"SIGGRAPH";"A*";"4607"
"ACM SIGGRAPH/Eurographics Symposium on Computer Animation";"SCA";"B";"4607"
"ACM Symposium on Solid and Physical Modelling";"SPM";"C";"4607"
"Advanced Concepts for Intelligent Vision Systems";"ACIVS";"B";"4603"
"Asian Conference on Computer Vision";"ACCV";"B";"4603"
"Australasian Conference on Robotics and Automation";"ACRA";"Australasian C";"4602"
"Australasian Joint Conference on Artificial Intelligence";"AI";"Australasian B";"4602"
"British Machine Vision Conference";"BMVC";"A";"4603"
"Combinatorial Pattern Matching";"CPM";"B";"4603"
"Computer Animation, Information Visualisation, and Digital Effects";"CAivDE";"C";"4607"
"Computer Graphics International";"CGI";"C";"4607"
"Conference on Robot Learning";"CoRL";"Unranked";"4602"
"Digital Audio Effects Conference";"DAFX";"C";"4603"
"Digital Image Computing Techniques and Applications";"DICTA";"Australasian C";"4603"
"Eurographics Symposium on Parallel Graphics and Visualization";"EGPGV";"C";"4607"
"European Conference on Artificial Intelligence";"ECAI";"A";"4602"
"European Conference on Computer Vision";"ECCV";"A*";"4603"
"Eye Tracking Research and Applications";"ETRA";"B";"4608"
"IberoAmerican Congress on Pattern Recognition";"CIARP";"C";"4603"
"IEEE Conference on Computer Vision and Pattern Recognition";"CVPR";"A*";"4603"
"IEEE International Conference on Acoustics, Speech and Signal Processing";"ICASSP";"Multiconference";"4603"
"IEEE International Conference on Advanced Video and Signal Based Surveillance";"AVSS";"B";"4603"
"IEEE International Conference on Automatic Face and Gesture Recognition";"FG";"B";"4603"
"IEEE International Conference on Computational Photography";"ICCP";"B";"4603"
"IEEE International Conference on Computer Vision";"ICCV";"A*";"4603"
"IEEE International Conference on Content-Based Multimedia Indexing";"CBMI";"C";"4603"
"IEEE International Conference on Image Processing";"ICIP";"B";"4603"
"IEEE International Conference on Multimedia and Expo";"ICME";"A";"4603"
"IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011)";"VCIP";"C";"4603"
"IEEE International Symposium on Multimedia";"ISM";"C";"4603"
"IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing";"IEEE CIMSIVP";"C";"4603"
"IEEE Workshop on Applications of Computer Vision";"WACV";"A";"4603"
"Image and Vision Computing Conference";"IVCNZ";"Australasian C";"4603"
"International Conference on Advanced Technologies For Signal & Image Processing";"ATSIP";"National: Tunisia";"4603"
"International Conference on Analysis of Images, Social Networks and Texts";"AIST";"National: Russia";"4602"
"International Conference on Computer Analysis of Images and Patterns";"CAIP";"C";"4603"
"International Conference on Computer Vision and Graphics";"ICCVG";"National: Poland";"4603"
"International Conference on Computer Vision Systems";"ICVS";"C";"4603"
"International Conference on Control, Automation, Robotics and Vision";"ICARCV";"C";"4602"
"International Conference on Cyberworlds (was International Symposium on Cyberworlds)";"CW";"C";"4607"
"International Conference on Entertainment Computing";"ICEC";"C";"4607"
"International Conference on Frontiers of Handwriting Recognition";"ICFHR";"B";"4603"
"International Conference on Image Analysis and Processing";"ICIAP";"National: Italy";"4603"
"International Conference on Image and Graphics";"ICIG";"National: China";"4607"
"International Conference on Image and Signal Processing";"ICISP";"C";"4603"
"International Conference on Image Processing Applications and Systems";"IPAS";"C";"4603"
"International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems";"IEA/AIE";"C";"4602"
"International Conference on Information and Communication Technologies for Ageing Well and e-Health";"ICT4AWE";"C";"4601"
"International Conference on Machine Vision";"ICMV";"C";"4603"
"International Conference on Multimedia Modelling";"MMM";"B";"4603"
"International Conference on Multimedia Retrieval (previously MIR)";"ICMR";"B";"4603"
"International Conference on Pattern Recognition";"ICPR";"B";"4603"
"International Conference on Pattern Recognition Applications and Methods";"ICPRAM";"C";"4603"
"International Conference on Quality of Multimedia Experience";"QoMEX";"B";"4608"
"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)";"RoVISP";"National: Malaysia";"4603"
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision";"WSCG";"National: Czecholslovakia";"4607"
"International Joint Conference on Artificial Intelligence";"IJCAI";"A*";"4602"
"International Joint Conference on Biometrics";"IJCB";"B";"4603"
"International Machine Vision and Image Processing Conference";"IMVIP";"National: ireland";"4603"
"International Picture Coding Symposium";"PCS";"C";"4603"
"International Symposium on Visual Computing";"ISVC";"National: USA";"4607"
"International Workshop on Combinations of Intelligent Methods and Applications";"CIMA";"C";"4602"
"International Workshop on Combinatorial Image Analysis: Theory and Applications";"IWCIA";"C";"4603"
"International Workshop on Multimedia Signal Processing";"MMSP";"C";"4603"
"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)";"VISIGRAPP";"Multiconference";"4603"
"Machine Vision Applications";"MVA";"National: japan";"4603"
"Medical Image Computing and Computer-Assisted Intervention";"MICCAI";"A";"4601"
"Multimedia and Network Information Systems";"MISSI";"National: Poland";"4603"
"National Conference of the American Association for Artificial Intelligence";"AAAI";"A*";"4602"
"Pacific Conference on Computer Graphics and Applications";"PG";"Journal Published";"4607"
"Pacific-Rim Symposium on Image and Video Technology";"PSIVT";"C";"4603"
"SIGGRAPH Asia";"SiggraphA";"A*";"4607"
"Simulation and Synthesis in Medical Imaging";"SASHIMI";"C";"4602"
"Structural and Syntactical Pattern Recognition";"SSPR";"B";"4603"
"Symposium on Geometry Processing";"SGP";"B";"4607"
"ACM Conference on Computer and Communications Security";"CCS";"A*";"4604"
"ACM Conference on Security and Privacy in Wireless and Mobile Networks";"ACM_WiSec";"B";"4604"
"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)";"SACMAT";"C";"4604"
"Advances in Cryptology";"CRYPTO";"A*";"4604"
"Advances in Financial Technologies";"AFT";"B";"4606"
"Annual Computer Security Applications Conference";"ACSAC";"A";"4604"
"Annual Conference on Privacy, Security and Trust";"PST";"C";"4604"
"Asia Conference on Information, Computer and Communications Security";"AsiaCCS";"A";"4604"
"Australasian Conference on Information Security and Privacy";"ACISP";"Australasian B";"4604"
"Australasian Information Security Conference";"AISC";"Australasian C";"4604"
"Computational Intelligence in Security for Information Systems";"CISIS";"National: Spain";"4604"
"Conference on Security and Cryptography for Networks";"SCN";"National: Italy";"4604"
"Cryptographers Track at RSA Conference";"CT-RSA";"B";"4604"
"European Dependable Computing Conference";"EDCC";"Unranked";"4604"
"European Symposium On Research In Computer Security";"ESORICS";"A";"4604"
"Financial Cryptography and Data Security Conference";"FC";"A";"4604"
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment";"DIMVA";"B";"4604"
"IEEE Computer Security Foundations Symposium (was CSFW)";"CSF";"A";"4604"
"IEEE European Symposium on Security and Privacy";"EuroS&P";"A";"4604"
"IEEE International Conference on Blockchain and Cryptocurrency";"ICBC";"C";"4606"
"IEEE International Conference on Intelligence and Security Informatics";"ISI";"C";"4604"
"IEEE Symposium on Computational Intelligence in Cyber Security";"IEEE CICS";"C";"4604"
"IEEE Symposium on Security and Privacy";"SP";"A*";"4604"
